Rank,Song,Artist,Year,UnprunedLyricalComplexity,TotalWords,TitleInLyrics,posSent,negSent,compoundSent,repetitiveness
55,penny lane,the beatles,1967,104,232,True,0.088,0.037,0.9191,0.552
56,youre my everything,the temptations,1967,87,224,True,0.249,0.04,0.9955,0.612
57,georgy girl,the seekers,1967,139,272,True,0.056,0.039,0.7753,0.489
58,western union,five americans,1967,97,171,True,0.04,0.134,-0.9564,0.433
59,baby i love you,aretha franklin,1967,92,276,True,0.295,0.032,0.9968,0.667
60,a little bit me a little bit you,the monkees,1967,54,252,False,0.049,0.167,-0.9736,0.786
61,california nights,lesley gore,1967,91,143,True,0.246,0.052,0.9875,0.364
62,dedicated to the one i love,the mamas  the papas,1967,61,205,True,0.228,0.054,0.992,0.702
63,how can i be sure,the young rascals,1967,83,175,True,0.223,0.072,0.9847,0.526
64,carrie anne,the hollies,1967,75,190,True,0.16,0.045,0.9316,0.605
65,we aint got nothin yet,blues magoos,1967,79,145,True,0.067,0.05,0.4004,0.455
66,friday on my mind,the easybeats,1967,85,125,True,0.144,0.136,0.3016,0.32
67,soul finger,the barkays,1967,,,,,,,
68,gimme some lovin,the spencer davis group,1967,77,232,True,0.273,0.033,0.9974,0.668
69,let it out let it all hang out,the hombres,1967,115,189,True,0.111,0.085,0.6583,0.392
70,lets live for today,the grass roots,1967,101,254,False,0.163,0.029,0.9865,0.602
71,close your eyes,peaches  herb,1967,52,151,True,0.333,0.047,0.9961,0.656
72,groovin,booker t  the mgs,1967,,,,,,,
73,funky broadway,wilson pickett,1967,49,140,True,0.075,0.096,0.2477,0.65
74,pleasant valley sunday,the monkees,1967,98,163,True,0.175,0.071,0.9746,0.399
75,i never loved a man the way i love you,aretha franklin,1967,104,215,False,0.174,0.278,-0.9818,0.516
76,tell it like it is,aaron neville,1967,71,116,True,0.206,0.095,0.9347,0.388
77,cold sweat,james brown,1967,69,162,True,0.14,0.105,0.7512,0.574
78,shed rather be with me,the turtles,1967,57,153,True,0.232,0.0,0.993,0.627
79,986,keith,1967,62,158,True,0.232,0.0,0.9896,0.608
80,here we go again,ray charles,1967,44,90,True,0.057,0.201,-0.926,0.511
81,white rabbit,jefferson airplane,1967,111,159,True,0.022,0.056,-0.7579,0.302
82,bernadette,four tops,1967,128,278,True,0.174,0.036,0.9928,0.54
83,the beat goes on,sonny  cher,1967,75,232,True,0.039,0.044,-0.296,0.677
84,snoopy vs the red baron,the royal guardsmen,1967,117,220,True,0.057,0.17,-0.9746,0.468
85,societys child,janis ian,1967,125,208,True,0.031,0.059,-0.5994,0.399
86,girl youll be a woman soon,neil diamond,1967,,,,,,,
87,aint no mountain high enough,marvin gaye  tammi terrell,1967,91,264,True,0.267,0.045,0.9928,0.655
88,i take it back,sandy posey,1967,47,60,False,0.246,0.039,0.9523,0.217
89,here comes my baby,the tremeloes,1967,64,193,True,0.235,0.077,0.9888,0.668
90,everlasting love,robert knight,1967,93,211,True,0.307,0.041,0.9973,0.559
91,i dig rock and roll music,peter paul and mary,1967,98,180,True,0.17,0.0,0.9822,0.456
92,little ole man uptight everythings alright,bill cosby,1967,,,,,,,
93,i had too much to dream last night,the electric prunes,1967,74,216,True,0.205,0.044,0.9849,0.657
94,daydream believer,the monkees,1967,74,183,True,0.187,0.016,0.9896,0.596
95,baby i need your lovin,johnny rivers,1967,92,144,True,0.049,0.119,-0.8862,0.361
96,mirage,tommy james and the shondells,1967,89,227,True,0.128,0.026,0.9704,0.608
97,green green grass of home,tom jones,1967,91,189,True,0.162,0.029,0.9723,0.519
98,i can see for miles,the who,1967,100,352,True,0.095,0.055,0.8028,0.716
99,dont sleep in the subway,petula clark,1967,88,207,True,0.06,0.145,-0.9423,0.575
100,thank the lord for the night time,neil diamond,1967,,,,,,,
1,hey jude,the beatles,1968,81,280,True,0.147,0.04,0.9831,0.711
2,love is blue,paul mauriat,1968,1,1,False,0.0,0.0,0.0,0.0
3,honey,bobby goldsboro,1968,161,337,True,0.157,0.138,0.9103,0.522
4,sittin on the dock of the bay,otis redding,1968,87,180,True,0.068,0.047,0.2354,0.517
5,people got to be free,the rascals,1968,131,269,True,0.237,0.024,0.9965,0.513
6,sunshine of your love,cream,1968,54,171,True,0.24,0.1,0.9874,0.684
7,this guys in love with you,herb alpert,1968,72,163,True,0.352,0.0,0.997,0.558
8,the good the bad and the ugly,hugo montenegro,1968,78,230,False,0.075,0.046,0.5922,0.661
9,mrs robinson,simon  garfunkel,1968,106,255,True,0.252,0.043,0.9958,0.584
10,tighten up,archie bell  the drells,1968,86,321,True,0.12,0.005,0.9885,0.732
11,harper valley pta,jeannie c riley,1968,180,309,True,0.05,0.021,0.7768,0.417
12,little green apples,o c smith,1968,136,259,True,0.068,0.029,0.8074,0.475
13,mony mony,tommy james and the shondells,1968,58,250,True,0.546,0.018,0.9994,0.768
14,hello i love you,the doors,1968,76,182,True,0.232,0.053,0.9906,0.582
15,young girl,gary puckett  the union gap,1968,81,228,True,0.186,0.038,0.9906,0.645
16,cry like a baby,the box tops,1968,60,197,True,0.261,0.198,0.9317,0.695
17,stoned soul picnic,the 5th dimension,1968,43,210,True,0.041,0.0,0.8176,0.795
18,grazing in the grass,hugh masekela,1968,66,350,False,0.084,0.0,0.9811,0.811
19,midnight confessions,the grass roots,1968,72,193,True,0.168,0.063,0.9759,0.627
20,dance to the music,sly  the family stone,1968,71,137,True,0.082,0.0,0.8526,0.482
21,the horse,cliff nobles,1968,1,1,False,0.0,0.0,0.0,0.0
22,i wish it would rain,the temptations,1968,109,271,True,0.213,0.113,0.9854,0.598
23,lala means i love you,the delfonics,1968,,,,,,,
24,turn around look at me,the vogues,1968,42,108,True,0.149,0.03,0.9411,0.611
25,judy in disguise with glasses,john fred  his playboy band,1968,60,106,True,0.111,0.093,0.2732,0.434
26,spooky,classics iv,1968,103,178,True,0.178,0.105,0.9398,0.421
27,love child,the supremes,1968,109,193,True,0.072,0.307,-0.995,0.435
28,angel of the morning,merrilee rush,1968,84,181,True,0.011,0.102,-0.8943,0.536
29,the ballad of bonnie and clyde,georgie fame,1968,132,203,False,0.147,0.166,-0.8316,0.35
30,those were the days,mary hopkin,1968,115,300,True,0.141,0.051,0.9756,0.617
31,born to be wild,steppenwolf,1968,68,175,True,0.202,0.036,0.9846,0.611
32,cowboys to girls,the intruders,1968,79,218,True,0.181,0.056,0.9871,0.638
33,simon says,1910 fruitgum company,1968,85,254,True,0.132,0.031,0.9778,0.665
34,lady willpower,gary puckett  the union gap,1968,67,152,True,0.162,0.201,-0.8943,0.559
